"";"x"
"1";"Atp5b"
"2";"Calm1"
"3";"Calm3"
"4";"Cct2"
"5";"Cox6a1"
"6";"Ddah2"
"7";"Fkbp4"
"8";"Gm10020"
"9";"Gm10076"
"10";"Id2"
"11";"Pdap1"
"12";"Pou3f1"
"13";"Rab14"
"14";"Rpl38"
"15";"Serf2"
"16";"Tceb2"
"17";"Ywhab"
