"";"x"
"1";"Aes"
"2";"Akr1a1"
"3";"Aplp1"
"4";"Ccni"
"5";"Cmip"
"6";"Dbn1"
"7";"Elavl3"
"8";"Gdi1"
"9";"Gnao1"
"10";"mt-Co1"
"11";"mt-Co2"
"12";"mt-Co3"
"13";"mt-Nd4l"
"14";"Nsg1"
"15";"Plxna4"
"16";"Ppp2r1a"
"17";"Rab3a"
"18";"Rnf165"
"19";"Rtn1"
"20";"Rtn3"
"21";"Sptan1"
"22";"Stmn4"
"23";"Tma7"
"24";"Ttc3"
"25";"Usp22"
