"";"x"
"1";"2610203C20Rik"
"2";"App"
"3";"Cadm1"
"4";"Cbx5"
"5";"Chchd2"
"6";"Ddx5"
"7";"Dnaja1"
"8";"Fam162a"
"9";"Gm26917"
"10";"Gnas"
"11";"Gpm6b"
"12";"Hmgb3"
"13";"Hnrnpa2b1"
"14";"Hnrnpa3"
"15";"Hnrnpab"
"16";"Hsp90b1"
"17";"Malat1"
"18";"Nfia"
"19";"Scd2"
"20";"Skp1a"
"21";"Syt11"
"22";"Tcf4"
"23";"Trim2"
