"";"x"
"1";"2810417H13Rik"
"2";"Ccna2"
"3";"Cdk1"
"4";"Cks2"
"5";"H2afv"
"6";"H2afz"
"7";"Hmgb2"
"8";"Hmgn2"
"9";"Marcks"
"10";"Mki67"
"11";"Nap1l1"
"12";"Nucks1"
"13";"Pabpc1"
"14";"Paics"
"15";"Pcna"
"16";"Racgap1"
"17";"Rrm2"
"18";"Smc2"
"19";"Smc4"
"20";"Tmpo"
"21";"Top2a"
"22";"Ube2c"
