"";"x"
"1";"Cd47"
"2";"Cdk4"
"3";"Eif4a1"
"4";"Fus"
"5";"Igf1r"
"6";"Mex3a"
"7";"Nfia"
"8";"Tubb5"
"9";"Ubc"
