"";"x"
"1";"Actb"
"2";"Atxn10"
"3";"Celf4"
"4";"Cox4i1"
"5";"Eif5a"
"6";"Fkbp1a"
"7";"Fth1"
"8";"Gm10036"
"9";"Gng3"
"10";"Kif1a"
"11";"Lrrc58"
"12";"Ppp1r14b"
"13";"Prrc2b"
"14";"Ptprs"
"15";"Rpl10-ps3"
"16";"Sbk1"
"17";"Ssbp3"
"18";"Trp53i11"
"19";"Tubb2a|Tubb2b"
"20";"Uba1"
"21";"Ywhae"
"22";"Ywhag"
"23";"Ywhaz"
