"";"x"
"1";"Aplp1"
"2";"Basp1"
"3";"Brd3"
"4";"Calm1"
"5";"Celf4"
"6";"Chd3"
"7";"Cmip"
"8";"Cntn2"
"9";"Crmp1"
"10";"Dpysl2"
"11";"Dpysl3"
"12";"Elavl3"
"13";"Gnao1"
"14";"Id2"
"15";"mt-Atp6"
"16";"Plxna4"
"17";"Ppp1r14b"
"18";"Ppp2r1a"
"19";"Ppp2r2b"
"20";"Rnf165"
"21";"Sepw1"
"22";"Slc25a4"
"23";"Sox11"
"24";"Stmn3"
"25";"Ttc3"
"26";"Uba1"
"27";"Ywhag"
