"";"x"
"1";"Anp32b"
"2";"Anp32e"
"3";"Atf5"
"4";"B2m"
"5";"Cenpa"
"6";"Ddah1"
"7";"Dek"
"8";"Eef1b2"
"9";"Fabp7"
"10";"Gm43549"
"11";"Gnai2"
"12";"H19"
"13";"Hdgf"
"14";"Hnrnpu"
"15";"Igfbp5"
"16";"Kpna2"
"17";"Mdk"
"18";"Mt1"
"19";"Mt2"
"20";"Ncor1"
"21";"Npm1"
"22";"Nr2f1"
"23";"Pea15a"
"24";"Psat1"
"25";"Ptn"
"26";"Qk"
"27";"Rpl36a"
"28";"Rpl41"
"29";"Sfrp1"
"30";"Slc25a5"
"31";"Tubb4b"
"32";"Txn1"
"33";"Ubb"
