"";"x"
"1";"Bnip3l"
"2";"Cdk2ap1"
"3";"Cox7c"
"4";"Eif4g2"
"5";"Eomes"
"6";"Hnrnph1"
"7";"Hsp90aa1"
"8";"Neurog2"
"9";"Pou3f2"
"10";"Rpl13"
"11";"Rpl23"
"12";"Rpl39"
"13";"Rps20"
"14";"Rps23"
"15";"Rps27a"
"16";"Rps29"
