"";"x"
"1";"Cdk4"
"2";"Ckb"
"3";"Ddx39b"
"4";"Erh"
"5";"Fus"
"6";"Gdi2"
"7";"Gm3764"
"8";"H2afy"
"9";"Hint1"
"10";"Ldha"
"11";"Rangap1"
"12";"Rplp1"
"13";"Sumo2"
"14";"Ube2s"
