"";"x"
"1";"Chchd2"
"2";"Ddx5"
"3";"Dnaja1"
"4";"Eif4g2"
"5";"Elavl4"
"6";"Hnrnpab"
"7";"Hspa8"
"8";"Igfbp2"
"9";"Ppia"
