"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Hes6";7,91196776299384e-11;-1,07424567707469;0,303;0,838;6,23463059723914e-08
"Soga3";8,49391383003164e-11;-1,24068395511388;0,212;0,824;6,69320409806493e-08
"Ddah2";1,08900924614346e-10;-0,883301778148639;0,606;0,919;8,58139285961043e-08
"Rrm2";1,24114573982214e-10;-1,12935505642376;0,485;0,932;9,78022842979843e-08
"Nrn1";1,42964780583648e-10;-1,17709421458941;0,152;0,838;1,12656247099914e-07
"Sept3";1,75351841546514e-10;-1,04780581444111;0,303;0,851;1,38177251138653e-07
"Plxna2";1,78277656092945e-10;-1,1112188789605;0,242;0,851;1,40482793001241e-07
"Mfap2";2,01476158238446e-10;-0,906595957418045;0,364;0,946;1,58763212691896e-07
"Ubb";2,2755386785446e-10;-0,853084192056714;0,97;1;1,79312447869315e-07
"Ttc28";2,94302839842542e-10;-1,12834331217782;0,394;0,811;2,31910637795923e-07
"Tubb2aTubb2b";3,00548130622406e-10;-0,880391033856519;0,97;1;2,36831926930456e-07
"Pcna";3,64393533379486e-10;-1,08360489533815;0,424;0,892;2,87142104303035e-07
"Ube2c";3,69100970668347e-10;-1,60067094551285;0,424;0,743;2,90851564886657e-07
"Slc38a2";4,17616686845048e-10;-0,756729188484873;0,667;1;3,29081949233898e-07
"Celf2";4,73629116514906e-10;-0,89096112028684;0,758;0,986;3,73219743813746e-07
"Rbfox3";5,31031298606991e-10;-1,19199382414062;0,242;0,757;4,18452663302309e-07
"Mcm6";5,78320332098779e-10;-0,949519775820052;0,364;0,878;4,55716421693838e-07
"Rad21";6,49073949734635e-10;-1,00868654292785;0,424;0,865;5,11470272390893e-07
"Ddx3x";7,35743071603371e-10;-0,774195790865613;0,818;1;5,79765540423456e-07
"Kif21b";1,2004653971858e-09;-1,14885255535027;0,182;0,757;9,45966732982409e-07
"Homer2";1,6190041541978e-09;-0,842957916323502;0,394;0,838;1,27577527350786e-06
"Cdk1";1,62013605286838e-09;-1,17167966049932;0,424;0,784;1,27666720966028e-06
"Pax6";2,04554026721357e-09;-0,911335705212397;0,515;0,919;1,61188573056429e-06
"Slc25a5";2,09862325720645e-09;-0,771664233920615;0,758;0,973;1,65371512667868e-06
"Myo10";2,11667509280233e-09;-1,05139902582467;0,152;0,824;1,66793997312824e-06
"Ptprs";2,3819370404967e-09;-0,806875355625439;0,636;0,973;1,8769663879114e-06
"Hnrnpd";2,88329080422606e-09;-0,808100373468346;0,697;0,986;2,27203315373014e-06
"Zic4";3,77830506710352e-09;-1,05130003825649;0,333;0,757;2,97730439287757e-06
"Pcna-ps2";4,51412867748883e-09;-1,00479571188097;0,212;0,811;3,5571333978612e-06
"Cks1b";5,22027025571982e-09;-0,913437074654374;0,303;0,838;4,11357296150722e-06
"Ccna2";5,8854501833936e-09;-1,06933109983702;0,242;0,811;4,63773474451416e-06
"Top2a";7,13001900508226e-09;-1,38620836858078;0,455;0,797;5,61845497600482e-06
"Nt5dc2";8,97367183068475e-09;-0,921718083154299;0,273;0,851;7,07125340257958e-06
"Rnf165";1,0256923219592e-08;-0,874537454023727;0,333;0,865;8,08245549703848e-06
"Sorbs2";1,12634762465525e-08;-1,03996206889159;0,152;0,743;8,87561928228337e-06
"Neurog2";1,22466550165574e-08;-1,17639977785397;0,303;0,865;9,65036415304726e-06
"Tk1";1,22921809750673e-08;-0,96932606886096;0,273;0,757;9,686238608353e-06
"Tcf4";1,34029148322443e-08;-0,754728991799309;0,848;1;1,05614968878085e-05
"Chd7";1,41740355223929e-08;-0,807720994119509;0,697;0,973;1,11691399916456e-05
"Tmsb10";1,55350403164054e-08;-0,779902819257116;0,848;0,973;1,22416117693275e-05
"Atxn7l3b";1,62103810940322e-08;-0,613943221707095;0,848;1;1,27737803020974e-05
"Ccdc88a";1,68634275327038e-08;-0,91292059816001;0,394;0,811;1,32883808957706e-05
"Btg2";1,71820830418116e-08;-0,815674281985984;0,515;0,851;1,35394814369476e-05
"Mpped2";1,83377872393624e-08;-0,83392228742748;0,455;0,905;1,44501763446175e-05
