Gene
CCND1
CDK6
CXCR2
CYR61
DLL1
GADD45G
GNAI2
HES6
HJURP
HK2
HRK
KIF21A
LMO4
LRRC2
LUC7L2
MAF
MEIS2
MEX3A
MSI2
MYCN
NEUROG1
NFIA
NFIB
PAX6
PBX1
SFRP2
SOX1
SOX6
STOX2
TLE1
TTYH1
ZFHX3
ZIC4
