Gene
ASCL1
CADM1
CDCA2
CDH4
CPLX2
DLK1
EFNB1
FXYD6
GADD45G
HES5
IGSF8
LIMCH1
MEIS2
NEUROG1
NEUROG2
NTRK2
OLFM1
PAX6
PBK
PTN
SFRP2
SOX6
ZFHX3
ZIC3
