"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Nrp2";1,69612968327117e-10;-1,47663772620189;0,121;0,743;1,33655019041768e-07
"Elavl2";2,00443948315588e-10;-1,09171247327359;0,485;0,905;1,57949831272684e-07
"Stmn3";2,88400027630464e-10;-1,1318129701553;0,212;0,824;2,27259221772805e-07
"Uchl1";2,91711504884203e-10;-0,900431686245477;0,576;0,932;2,29868665848752e-07
"6330403K07Rik";3,06927587199925e-10;-0,958847117423218;0,394;0,851;2,41858938713541e-07
"Mllt11";5,05549444233599e-10;-1,03118834352682;0,303;0,824;3,98372962056076e-07
"Calm2";5,0944375069029e-10;-0,875007203768745;0,636;0,973;4,01441675543949e-07
"Hn1";7,60222863898779e-10;-0,814072510022316;0,667;0,986;5,99055616752238e-07
"Ncam1";8,89886538087576e-10;-1,04881312616343;0,515;0,905;7,0123059201301e-07
"Trp53i11";1,03049903579752e-09;-0,921574428097023;0,424;0,946;8,12033240208447e-07
"Tsc22d1";1,11533191951657e-09;-0,808025693791772;0,758;0,986;8,78881552579057e-07
"Rcor2";1,31186458619693e-09;-0,890806854930957;0,485;0,851;1,03374929392318e-06
"Ywhag";1,3144436947334e-09;-0,822884083204969;0,697;0,959;1,03578163144992e-06
"Tbr1";1,4572265505514e-09;-1,69465555047118;0,061;0,905;1,1482945218345e-06
"Gpm6b";2,03250137793906e-09;-0,837092575979625;0,515;0,905;1,60161108581598e-06
"Slc17a6";2,33337195412367e-09;-1,63168386690724;0,03;0,932;1,83869709984945e-06
"Dynll1";2,88052339479357e-09;-0,815259071959889;0,788;0,932;2,26985243509733e-06
"Ccdc88a";2,89563631527182e-09;-0,975356214478817;0,394;0,892;2,28176141643419e-06
"Rufy3";2,98239339530577e-09;-1,20235043658179;0,121;0,811;2,35012599550094e-06
"App";3,05461875962539e-09;-0,824026177160529;0,636;0,932;2,40703958258481e-06
"Tmeff1";3,38609941998798e-09;-0,941077097119018;0,273;0,838;2,66824634295053e-06
"Ncan";4,48467515456015e-09;-1,12702278192969;0,121;0,865;3,5339240217934e-06
"Sfpq";5,67365108745027e-09;-0,759895349240412;0,667;0,946;4,47083705691081e-06
"Ank3";7,03311387048936e-09;-1,21683311329077;0,182;0,716;5,54209372994561e-06
