"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Gnai2";3,64847393447071e-08;-0,602313470883459;0,879;0,992;2,87499746036292e-05
"Ccdc34";3,65430922924767e-08;-0,723970203623411;0,545;0,909;2,87959567264716e-05
"Ccna2";3,86996192310666e-08;-1,06114261644502;0,242;0,736;3,04952999540804e-05
"Dut";4,00828357881236e-08;-0,813752479155675;0,545;0,835;3,15852746010414e-05
"Nucks1";4,30560401860475e-08;-0,815077553039798;0,576;0,893;3,39281596666054e-05
"Rad21";4,51423188727743e-08;-0,882102351402018;0,424;0,793;3,55721472717462e-05
"Sept3";5,76855044468235e-08;-0,772210331156468;0,303;0,818;4,54561775040969e-05
"Ezh2";6,29099104484919e-08;-0,761717824879208;0,515;0,909;4,95730094334116e-05
"Paics";7,21649518954521e-08;-0,666574637714892;0,697;0,975;5,68659820936162e-05
"Sox1";8,32870636043217e-08;-0,819920840712369;0,424;0,818;6,56302061202055e-05
"Phgdh";8,87157827544222e-08;-0,745475735725789;0,545;0,843;6,99080368104847e-05
"Cdk1";1,10174204466108e-07;-1,01364279085362;0,424;0,686;8,68172731192929e-05
"Gas1";1,10949284643869e-07;-0,933831386763396;0,455;0,81;8,74280362993691e-05
"Celf2";1,15334644219969e-07;-0,683060279276823;0,758;0,967;9,08836996453355e-05
"Vim";1,26852251477633e-07;-0,765383212827423;0,818;0,992;9,99595741643746e-05
"Msi2";1,38133477996767e-07;-0,754797209769067;0,515;0,909;0,000108849180661452
"Nes";1,51252862262105e-07;-0,764398975226074;0,394;0,835;0,000119187255462539
"Slc1a3";1,54856774274559e-07;-0,809446107755039;0,273;0,793;0,000122027138128352
"Zic5";1,63222307560397e-07;-0,82301691476262;0,212;0,76;0,000128619178357593
"Nt5dc2";1,69630673618339e-07;-0,75604151555916;0,273;0,818;0,000133668970811251
"Ppp1r14b";1,85159813408337e-07;-0,67415538204954;0,394;0,909;0,000145905932965769
"Pantr1";2,37120387382251e-07;-0,816369139350137;0,424;0,868;0,000186850865257214
"Top2a";2,81747283227821e-07;-1,14126988848707;0,455;0,802;0,000222016859183523
"Prdx1";2,81927223409413e-07;-0,638747096921032;0,818;0,992;0,000222158652046618
"Ubb";3,17371896758867e-07;-0,592124530503491;0,97;1;0,000250089054645987
"Top1";3,27243322988246e-07;-0,614389482535554;0,97;0,975;0,000257867738514738
"Ube2c";3,35077921134825e-07;-1,25791444649979;0,424;0,636;0,000264041401854242
"Hn1";3,43528439247606e-07;-0,761521476041131;0,667;0,95;0,000270700410127113
"Hnrnpab";3,7661210679934e-07;-0,612413537214792;0,909;0,975;0,00029677034015788
"Trim2";3,89715249296355e-07;-0,71468041049977;0,424;0,826;0,000307095616445527
"Cdk6";4,59082971512782e-07;-0,811366033356456;0,424;0,785;0,000361757381552072
"Ddah2";4,7931526042196e-07;-0,684211881589248;0,606;0,876;0,000377700425212504
"Kif21a";6,15515069878217e-07;-0,713271464927345;0,485;0,86;0,000485025875064035
"Pou3f3";6,47650166376518e-07;-0,706591758966291;0,758;0,884;0,000510348331104696
"Slc35f1";7,23859995214602e-07;-0,744049454893269;0,242;0,769;0,000570401676229106
"Cdca8";7,56998806338583e-07;-0,874873299776125;0,273;0,628;0,000596515059394804
"Psat1";7,5913461676677e-07;-0,694538725645938;0,697;0,917;0,000598198078012215
"Tpx2";8,29049213854027e-07;-0,944592168027095;0,182;0,562;0,000653290780516973
"Tcf4";8,66742769003127e-07;-0,753508138822891;0,848;1;0,000682993301974464
"Hnrnpd";9,03122488408942e-07;-0,675877753847176;0,697;0,917;0,000711660520866247
"Ranbp1";1,01273181231007e-06;-0,687606938318229;0,667;0,942;0,000798032668100336
"Ccnb1";1,04179756754654e-06;-0,989187578891255;0,182;0,57;0,00082093648322667
"2610203C20Rik";1,17142226387998e-06;-0,624421159951621;0,485;0,868;0,000923080743937423
"Zfp36l1";1,23784264398509e-06;-0,59400950255792;0,697;0,942;0,000975420003460249
"Dynll1";1,25452766777881e-06;-0,680365608551305;0,788;0,909;0,000988567802209705
"Ckb";1,27321948482814e-06;-0,657851355435532;0,758;0,967;0,00100329695404457
"Ccdc88a";1,44261402044933e-06;-0,701949708993729;0,394;0,76;0,00113677984811407
"Cenpe";1,45489775201824e-06;-1,00653075461032;0,121;0,512;0,00114645942859038
"Ndn";1,62152091472721e-06;-0,644109636302645;0,364;0,785;0,00127775848080504
"Rmst";1,78420894146301e-06;-0,777582369457956;0,242;0,636;0,00140595664587285
"Fgfr1";1,79505454480146e-06;-0,657972766774398;0,364;0,752;0,00141450298130355
"Arl6ip1";1,96103248963127e-06;-0,994847611480509;0,788;0,909;0,00154529360182944
"Racgap1";2,13637924652311e-06;-0,859891051859952;0,333;0,636;0,00168346684626021
"Zfp462";2,38147300484099e-06;-0,617137034298503;0,485;0,942;0,0018766007278147
"Tacc3";2,57380459240433e-06;-0,805806158151069;0,182;0,595;0,00202815801881461
"Pcna";3,19025432910361e-06;-0,840388026439934;0,424;0,76;0,00251392041133364
"Prox1";3,29966269383538e-06;-0,79045149583072;0,061;0,595;0,00260013420274228
"Nrep";3,68236126800643e-06;-0,596694031074068;0,576;0,893;0,00290170067918907
"Smc4";3,88102736405858e-06;-0,844091861488946;0,606;0,793;0,00305824956287816
"Myo10";4,07885081421002e-06;-0,650253269315413;0,152;0,702;0,00321413444159749
"Cdh4";4,11182156053227e-06;-0,796376647974341;0,152;0,562;0,00324011538969943
"Cdca3";5,24182139989131e-06;-0,854020829408887;0,273;0,603;0,00413055526311435
"Ptprs";5,53254777029592e-06;-0,605526369679949;0,636;0,917;0,00435964764299319
"Ddx3x";5,55066534973736e-06;-0,578909954401563;0,818;0,959;0,00437392429559304
"Mmp14";5,81472984839422e-06;-0,658982687122952;0,212;0,744;0,00458200712053464
"Ttc28";6,54727942975025e-06;-0,61728901301352;0,394;0,802;0,0051592561906432
"Hjurp";7,58809315430727e-06;-0,697566628221322;0,303;0,777;0,00597941740559413
"Mex3a";7,69555303613247e-06;-0,520681170389144;0,667;0,95;0,00606409579247239
"Ddah1";7,8508229538787e-06;-0,725219034811037;0,364;0,785;0,00618644848765642
"Atxn7l3b";8,52458484468455e-06;-0,508820931252701;0,848;1;0,00671737285761143
